date,open,high,low,close,volume,num_min_bar,start_hour,end_hour,max_hourly_vol,hour_max_vol,max_hourly_change,hour_max_change,ave_hourly_change
20160104,4716,4732,4591.5,4608,4542,896,1,18,498,13,-53,1,14.67
20160105,4614,4680,4596,4645,3610,850,1,18,433,12,46.5,6,8.56
20160106,4633,4647.5,4593,4620,3187,825,1,18,442,13,-21.5,6,7.39
20160107,4625,4636,4430,4487.5,9067,939,1,18,1786,14,65,15,22.36
20160108,4491,4562,4472.5,4475,4954,902,1,18,711,1,38,7,14.94
20160111,4467.5,4467.5,4381,4384,5565,920,1,18,871,13,-36.5,1,12.75
20160112,4396,4410,4350,4358,4616,846,1,18,599,13,-25.5,15,10.11
20160113,4366.5,4410,4357,4357,4030,902,1,18,509,15,-26.5,17,9.08
20160114,4363.5,4430,4330,4404.5,4654,840,1,18,808,16,20.5,2,9.39
20160115,4415.5,4418,4318,4325.5,4401,900,1,18,564,13,-28.5,16,9.28
20160118,4332.5,4394,4330,4380,3288,830,1,18,438,1,42.5,1,9.97
20160119,4378.5,4476,4366,4392.5,4743,890,1,18,541,6,42,5,12.22
20160120,4392.5,4412,4348,4385,3691,857,1,18,443,13,24,18,9.36
20160121,4392,4441,4353,4438,3734,829,1,18,479,16,32.5,16,9.50
20160122,4441,4484,4418,4444.5,3979,865,1,18,433,16,45,11,14.53
20160125,4446.5,4472,4406,4432,3762,866,1,18,544,14,-23.5,1,9.31
20160126,4423,4544.5,4408,4522,5683,884,1,18,910,16,35.5,10,10.94
20160127,4525,4595,4505,4577,4721,919,1,18,643,16,22.5,16,11.00
20160128,4560,4584,4516,4543.5,4229,894,1,18,481,14,41.5,7,11.86
20160129,4543,4579.5,4527.5,4569,3049,833,1,18,408,16,19,13,8.94
20160201,4560,4565,4496.5,4565,3680,869,1,18,395,12,-35,1,9.00
20160202,4553,4628,4526,4546,4425,824,1,18,737,13,56,7,11.28
20160203,4534,4648,4520,4644.5,4702,894,1,18,710,15,24,15,10.19
20160204,4648.5,4720,4631.5,4690,5379,878,1,18,803,14,22,13,9.86
20160205,4692.5,4696,4612,4616,4397,849,1,18,786,13,-29,18,10.86
20160208,4620,4648.5,4573.5,4620,3168,717,1,18,469,14,43.5,13,11.89
20160209,4610,4646.5,4467,4508.5,5452,753,1,18,1051,13,-62,9,18.86
20160210,4518,4524,4430,4464,3828,763,1,18,765,16,52,17,17.56
20160211,4465.5,4497,4433,4443,3849,769,1,18,540,16,32,14,12.19
20160212,4462,4515,4448,4491,2415,699,1,18,327,15,25,8,7.17
20160215,4526,4615,4526,4565,4253,835,1,18,628,1,58,1,13.00
20160216,4569.5,4611,4546,4547,3894,854,1,18,689,15,31.5,1,10.86
20160217,4556.5,4608,4535,4592,3558,872,1,18,419,16,-25.5,12,8.81
20160218,4586.5,4600,4552.5,4592,3024,820,1,18,397,16,-20.5,8,7.47
20160219,4584.5,4631.5,4562,4606,3448,843,1,18,488,13,24,16,9.92
20160222,4622.5,4701,4619,4684,4316,871,1,18,565,8,33.5,7,6.69
20160223,4675,4681.5,4629,4657,3368,857,1,18,481,15,-23,3,7.83
20160224,4654,4669.5,4580,4667.5,4412,905,1,18,580,15,-36,3,10.58
20160225,4670,4676,4578,4609,4678,906,1,18,568,14,-37,14,10.83
20160226,4612,4771,4610,4691.5,9156,902,1,18,3028,13,71.5,13,12.64
20160229,4691,4715,4645,4700,4672,888,1,18,509,10,45,10,12.33
20160301,4695,4738.5,4636,4734,4514,899,1,18,430,13,-32.5,1,12.28
20160302,4726.5,4810,4716,4810,5401,946,1,18,682,14,26,6,10.42
20160303,4800.5,4865,4778,4864,5261,979,1,18,596,14,18.5,14,8.53
20160304,4862,5059,4855.5,4995.5,9203,925,1,18,1772,16,47,6,15.92
20160307,5000,5035,4940,5007,6555,921,1,18,1157,13,-25,13,11.94
20160308,4998.5,4998.5,4852.5,4888,7540,922,1,18,1397,13,-44.5,2,18.86
20160309,4881.5,4962,4849.5,4922.5,6125,902,1,18,1049,15,24,5,9.94
20160310,4926.5,4942.5,4863.5,4896,5132,857,1,18,771,13,-19.5,1,8.97
20160311,4897.5,4977,4892.5,4948.5,3732,902,1,18,405,16,31.5,1,10.72
20160314,4941,5030,4923,4954.5,5262,883,0,17,834,12,58,1,13.42
20160315,4946,4953.5,4881.5,4943,4500,869,0,17,640,13,-37.5,6,10.72
20160316,4954,5000,4919,4986,3707,853,0,17,379,12,49,17,12.11
20160317,5007,5075,4980.5,5068,5633,911,0,17,851,12,-46.5,11,13.50
20160318,5066,5131,5031,5048,5902,922,0,17,873,12,52.5,0,14.83
20160321,5039,5088,5018,5048,3692,842,0,17,430,12,28,0,11.28
20160322,5062.5,5073,5024.5,5063.5,3000,769,0,17,406,12,26.5,8,7.67
20160323,5065,5078,4944,4962,5335,834,0,17,1724,12,-48,12,10.39
20160324,4960.5,4970.5,4886,4958.5,4330,861,0,17,544,10,-31,9,9.72
20160329,4969,4981,4880,4917,4704,854,0,17,788,15,20,16,9.94
20160330,4922,4930,4850,4873,4963,908,0,17,646,6,-25.5,12,9.17
20160331,4860,4884,4816,4856.5,5116,879,0,17,818,13,34,13,10.31
20160401,4850,4895.5,4805,4812,4432,841,0,17,706,12,-35.5,12,10.33
20160404,4809.5,4824,4757.5,4768.5,3035,753,0,17,437,15,-23,10,9.78
20160405,4764,4811.5,4751,4768.5,4005,865,0,17,691,13,26.5,13,10.53
20160406,4772,4795,4751,4775,3320,831,0,17,453,13,18.5,14,5.72
20160407,4780,4799,4631,4635,6702,872,0,17,1074,14,-41,7,11.94
20160408,4650,4680,4633,4665,4611,862,0,17,755,13,21,7,9.33
20160411,4667,4703.5,4633.5,4668.5,3946,839,0,17,582,13,-24,8,11.19
20160412,4654.5,4788,4640,4780,6359,906,0,17,1164,13,38.5,13,10.53
20160413,4787,4855,4775,4837,5883,920,0,17,777,13,-36.5,6,8.50
20160414,4845,4845.5,4778,4840,4297,850,0,17,658,13,-20,5,10.06
20160415,4830,4843.5,4765.5,4806,3753,784,0,17,427,13,-25.5,6,9.06
20160418,4772.5,4844,4758,4825,5489,912,0,17,687,13,24.5,13,8.81
20160419,4828,4951,4782,4943,6921,847,0,17,1458,13,68,13,12.83
20160420,4936,4985,4886.5,4972.5,6122,883,0,17,918,15,-36,5,9.47
20160421,4976,5065,4930,4997,9335,903,0,17,2497,13,-101,13,18.39
20160422,4996,5091,4958,5030.5,7709,880,0,17,2041,14,32,13,12.36
20160425,5020,5030,4970,4990,5236,890,0,17,694,13,-31,7,8.06
20160426,4981,5002,4916.5,4964,5172,861,0,17,600,13,-41,2,10.33
20160427,4972,4983,4873,4932,5189,849,0,17,1028,13,-41.5,13,12.33
20160428,4940,4955,4880,4932,4703,833,0,17,550,13,-26,5,9.89
20160429,4930.5,5073.5,4926,5035.5,5885,907,0,17,755,13,41,2,11.44
20160503,5007,5012,4897.5,4907.5,6888,908,0,17,1000,14,-44,14,14.14
20160504,4912.5,4925,4839,4841,4835,868,0,17,601,13,-26.5,8,12.25
20160505,4853,4866,4764,4770.5,5525,883,0,17,769,13,-25.5,7,10.42
20160506,4776.5,4825,4755,4788,5475,889,0,17,759,12,20,15,9.47
20160509,4781,4784.5,4682.5,4686.5,6862,929,0,17,1033,13,-44,1,12.25
20160510,4685,4724,4663.5,4678,5125,887,0,17,663,13,22.5,1,10.00
20160511,4678,4751,4674,4692.5,5368,912,0,17,667,14,-31.5,13,7.47
20160512,4692.5,4770,4600,4622,8526,915,0,17,2395,15,-68.5,15,13.75
20160513,4628.5,4659,4594,4622,5894,914,0,17,890,14,-20.5,12,8.42
20160516,4619.5,4687,4596,4654.5,5580,896,0,17,1041,13,51,13,10.83
20160517,4656.5,4699.5,4612,4640,5312,856,0,17,1094,13,-24.5,8,9.86
20160518,4656,4667.5,4563.5,4634,6357,911,0,17,1183,13,-38,3,11.33
20160519,4601.5,4608,4540,4596,5805,876,0,17,1672,13,33,14,9.19
20160520,4595.5,4637.5,4566,4571,4492,848,0,17,673,13,42,8,9.47
20160523,4576,4588.5,4545,4565,4371,854,0,17,772,14,-26.5,5,8.33
20160524,4563,4635,4554.5,4586.5,5252,846,0,17,1124,14,30.5,9,10.69
20160525,4604.5,4677,4596.5,4676,4624,858,0,17,881,12,35.5,12,9.08
20160526,4665.5,4712,4653,4662,4778,858,0,17,768,13,-31.5,13,8.64
20160527,4662.5,4719.5,4640,4687,3660,835,0,17,499,13,28,7,9.03
20160531,4665,4696.5,4650,4654,3704,836,0,17,632,13,-19,6,5.94
20160601,4647.5,4647.5,4565.5,4606,5660,923,0,17,1071,15,26,15,9.31
20160602,4615.5,4620,4571.5,4597,4406,913,0,17,496,13,23.5,15,6.58
20160603,4594,4725,4594,4683,6391,823,0,17,1463,12,-34.5,13,10.22
20160606,4694,4748,4676,4676,4386,902,0,17,695,15,-37.5,15,8.78
20160607,4685.5,4704,4552,4558.5,6995,885,0,17,1019,12,-34.5,8,10.72
20160608,4568,4623,4565,4580,4854,900,0,17,526,14,23,11,8.50
20160609,4594.5,4633.5,4483.5,4538.5,5353,739,0,17,1539,12,-63.5,12,13.28
20160610,4527.5,4540,4487,4516,4115,763,0,17,716,13,-24.5,6,8.36
20160613,4518,4589,4495.5,4555,5662,899,0,17,838,13,50.5,1,12.28
20160614,4569.5,4570.5,4510.5,4530.5,3964,819,0,17,530,13,-28,6,7.56
20160615,4524.5,4690,4523.5,4645,7103,890,0,17,1039,9,48,9,12.25
20160616,4639.5,4646,4525,4544,5972,894,0,17,833,14,-35,10,11.36
20160617,4561.5,4594,4532,4550,4673,872,0,17,593,13,21.5,12,10.31
